Blocks,Total,Func,Module
3,5,"FUN_001b3d9b",""
1,1,"FUN_001b3fc3",""
2,2,"FUN_001b4080",""
3,4,"__do_get_rand32",""
1,1,"__errno",""
18,22,"__memcpy",""
3,3,"__memset",""
1,1,"__morestack",""
15,46,"__sfvwrite",""
2,4,"__sprint",""
60,738,"__vfprintf",""
1,1,"_pthread_enabled",""
1,1,"_random_stack_noinline_wrapper<_status_t,_unsigned_int,_void*,_int&,_void*&>",""
7,7,"_strlen",""
17,19,"add_static_threads",""
6,11,"apply_EPC_pages",""
15,30,"change_protection",""
4,28,"check_dynamic_range",""
6,7,"check_heap_dyn_range",""
10,35,"createCollation","Enclave/sqlite3.o"
2,4,"dbMallocRawFinish","Enclave/sqlite3.o"
24,192,"dlfree",""
26,82,"dlmalloc",""
3,6,"do_check_any_chunk",""
15,27,"do_check_free_chunk",""
6,11,"do_check_inuse_chunk",""
7,11,"do_check_malloced_chunk",""
9,18,"do_check_top_chunk",""
5,11,"do_ctors_aux",""
1,1,"do_eaccept",""
18,33,"do_ecall",""
1,1,"do_emodpe",""
9,20,"do_init_thread",""
1,1,"do_ocall",""
3,5,"do_rdrand",""
10,14,"do_save_tcs",""
3,5,"ecall_execute_sql","Enclave/Enclave.o"
2,3,"ecall_opendb","Enclave/Enclave.o"
15,19,"elf_get_init_array",""
9,12,"elf_tls_info",""
12,28,"enter_enclave",""
12,17,"findCollSeqEntry","Enclave/sqlite3.o"
12,16,"findElementWithHash","Enclave/sqlite3.o"
2,5,"functionDestroy.isra.0","Enclave/sqlite3.o"
1,1,"get_enclave_base",""
1,1,"get_enclave_state",""
1,1,"get_errno_addr",""
6,8,"get_func_addr",""
1,1,"get_heap_base",""
5,6,"get_heap_min_size",""
6,7,"get_heap_size",""
8,11,"get_phdr",""
1,1,"get_thread_data",""
12,14,"has_text_relo",""
3,5,"hprintf","Enclave/Enclave.o"
4,4,"init_bins",""
1,1,"init_global_object",""
8,12,"init_mparams",""
9,13,"init_stack_guard",""
1,1,"init_static_stack_canary",""
3,4,"init_top",""
4,10,"insertElement.isra.0","Enclave/sqlite3.o"
6,15,"is_ecall_allowed",""
5,8,"mbrtowc",""
1,1,"memcpy",""
7,21,"memcpy_s",""
1,1,"memset",""
6,9,"memset_s",""
12,28,"ocall_lstat","Enclave/Enclave_t.o"
5,9,"ocall_print_string","Enclave/Enclave_t.o"
1,9,"ocall_println_string","Enclave/Enclave_t.o"
25,53,"openDatabase","Enclave/sqlite3.o"
2,3,"pager_reset","Enclave/sqlite3.o"
6,12,"pcache1Alloc","Enclave/sqlite3.o"
2,3,"pcache1Cachesize","Enclave/sqlite3.o"
8,10,"pcache1Create","Enclave/sqlite3.o"
5,8,"pcache1EnforceMaxPage","Enclave/sqlite3.o"
2,6,"pcache1Free","Enclave/sqlite3.o"
1,1,"pcache1Init","Enclave/sqlite3.o"
5,18,"pcache1ResizeHash.isra.0","Enclave/sqlite3.o"
6,8,"random_stack_advance<2048,__status_t,_unsigned_int,_void*,_int&,_void*&>",""
3,3,"rdrand<>",""
3,4,"restore_xregs",""
3,4,"save_xregs",""
14,29,"sbrk",""
5,7,"segment_holding",""
2,8,"setSectorSize","Enclave/sqlite3.o"
1,1,"set_enclave_state",""
14,23,"setupLookaside","Enclave/sqlite3.o"
7,9,"sgx_accept_backward",""
2,3,"sgx_ecall_closedb","Enclave/Enclave_t.o"
18,18,"sgx_ecall_execute_sql","Enclave/Enclave_t.o"
18,18,"sgx_ecall_opendb","Enclave/Enclave_t.o"
1,1,"sgx_is_enclave_crashed",""
9,9,"sgx_is_outside_enclave",""
8,9,"sgx_is_within_enclave",""
1,5,"sgx_lstat","Enclave/ocall_interface.o"
5,7,"sgx_ocall",""
8,12,"sgx_ocalloc",""
1,3,"sgx_ocfree",""
12,18,"sgx_read_rand",""
4,7,"sgx_spin_lock",""
50,147,"sqlite3BtreeOpen","Enclave/sqlite3.o"
12,34,"sqlite3CreateFunc","Enclave/sqlite3.o"
3,3,"sqlite3DbMallocRaw","Enclave/sqlite3.o"
4,11,"sqlite3DbMallocRawNN","Enclave/sqlite3.o"
2,3,"sqlite3DbMallocZero","Enclave/sqlite3.o"
19,42,"sqlite3FindFunction","Enclave/sqlite3.o"
