Blocks,Total,Func,Module
13,14,"ASN1_INTEGER_get","asn1/a_int.o"
17,20,"ASN1_INTEGER_set","asn1/a_int.o"
4,5,"ASN1_INTEGER_to_BN","asn1/a_int.o"
10,11,"ASN1_OBJECT_free","asn1/a_object.o"
3,4,"ASN1_OBJECT_new","asn1/a_object.o"
3,5,"ASN1_STRING_TABLE_get","asn1/a_strnid.o"
6,6,"ASN1_STRING_dup","asn1/asn1_lib.o"
6,8,"ASN1_STRING_free","asn1/asn1_lib.o"
13,18,"ASN1_STRING_set","asn1/asn1_lib.o"
6,7,"ASN1_STRING_set_by_NID","asn1/a_strnid.o"
3,4,"ASN1_STRING_type_new","asn1/asn1_lib.o"
1,1,"ASN1_TIME_free","asn1/a_time.o"
30,31,"ASN1_get_object","asn1/asn1_lib.o"
3,3,"ASN1_item_d2i","asn1/tasn_dec.o"
1,4,"ASN1_item_digest","asn1/a_digest.o"
4,6,"ASN1_item_dup","asn1/a_dup.o"
9,121,"ASN1_item_ex_d2i","asn1/tasn_dec.o"
30,50,"ASN1_item_ex_i2d","asn1/tasn_enc.o"
1,1,"ASN1_item_free","asn1/tasn_fre.o"
1,1,"ASN1_item_i2d","asn1/tasn_enc.o"
1,1,"ASN1_item_new","asn1/tasn_new.o"
1,4,"ASN1_item_sign","asn1/a_sign.o"
1,1,"ASN1_mbstring_copy","asn1/a_mbstr.o"
8,67,"ASN1_mbstring_ncopy","asn1/a_mbstr.o"
9,10,"ASN1_object_size","asn1/asn1_lib.o"
19,25,"ASN1_primitive_free","asn1/tasn_fre.o"
14,23,"ASN1_primitive_new","asn1/tasn_new.o"
10,18,"ASN1_put_object","asn1/asn1_lib.o"
2,6,"ASN1_template_free","asn1/tasn_fre.o"
8,11,"ASN1_template_new","asn1/tasn_new.o"
1,10,"BIO_ctrl","bio/bio_lib.o"
3,12,"BIO_free","bio/bio_lib.o"
5,12,"BIO_gets","bio/bio_lib.o"
4,5,"BIO_int_ctrl","bio/bio_lib.o"
1,5,"BIO_new","bio/bio_lib.o"
1,8,"BIO_new_file","bio/bss_file.o"
1,1,"BIO_s_file","bio/bss_file.o"
1,1,"BIO_s_socket","bio/bss_sock.o"
15,16,"BN_add_word","bn/bn_word.o"
16,18,"BN_bin2bn","bn/bn_lib.o"
4,4,"BN_bn2bin","bn/bn_lib.o"
3,8,"BN_clear_bit","bn/bn_lib.o"
5,8,"BN_clear_free","bn/bn_lib.o"
14,17,"BN_copy","bn/bn_lib.o"
26,31,"BN_dec2bn","bn/bn_print.o"
5,6,"BN_dup","bn/bn_lib.o"
1,1,"BN_free","bn/bn_lib.o"
1,1,"BN_is_zero","bn/bn_lib.o"
10,11,"BN_mul_word","bn/bn_word.o"
3,4,"BN_new","bn/bn_lib.o"
3,3,"BN_num_bits","bn/bn_lib.o"
15,15,"BN_num_bits_word","bn/bn_lib.o"
4,4,"BN_set_word","bn/bn_lib.o"
13,19,"BN_sub_word","bn/bn_word.o"
7,15,"BN_to_ASN1_INTEGER","asn1/a_int.o"
3,5,"BUF_MEM_free","buffer/buffer.o"
3,10,"BUF_MEM_grow","buffer/buffer.o"
10,13,"BUF_MEM_grow_clean","buffer/buffer.o"
3,4,"BUF_MEM_new","buffer/buffer.o"
3,3,"CBS_get_u16","../ssl/bs_cbs.o"
1,1,"CBS_init","../ssl/bs_cbs.o"
3,6,"CONF_modules_finish","conf/conf_mod.o"
3,13,"CONF_modules_unload","conf/conf_mod.o"
1,1,"CRYPTO_THREADID_cmp","cryptlib.o"
1,1,"CRYPTO_THREADID_cpy","cryptlib.o"
3,5,"CRYPTO_THREADID_current","cryptlib.o"
2,3,"CRYPTO_add_lock","cryptlib.o"
2,3,"CRYPTO_free_ex_data","ex_data.o"
2,4,"CRYPTO_get_ex_data","ex_data.o"
2,3,"CRYPTO_get_ex_new_index","ex_data.o"
4,8,"CRYPTO_lock","cryptlib.o"
2,3,"CRYPTO_new_ex_data","ex_data.o"
1,1,"CRYPTO_pop_info","mem_dbg.o"
1,1,"CRYPTO_push_info_","mem_dbg.o"
6,10,"CRYPTO_set_ex_data","ex_data.o"
4,9,"DH_free","dh/dh_lib.o"
1,19,"DH_new_method","dh/dh_lib.o"
3,6,"EC_EX_DATA_free_all_data","ec/ec_lib.o"
3,5,"EC_GROUP_free","ec/ec_lib.o"
8,43,"EC_GROUP_new_by_curve_name","ec/ec_curve.o"
4,5,"EC_KEY_free","ec/ec_key.o"
3,4,"EC_KEY_new","ec/ec_key.o"
4,4,"EC_KEY_new_by_curve_name","ec/ec_key.o"
