Blocks,Total,Func,Module
3,5,"FUN_002fb9f4",""
1,1,"FUN_002fbc1c",""
2,2,"FUN_002fbcd9",""
1,40,"OPENSSL_cpuid_setup","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
1,1,"_GLOBAL__sub_I_tmem_mgmt.cpp","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl.a"
12,16,"__cxa_atexit",""
3,4,"__do_get_rand32",""
18,22,"__memcpy",""
3,3,"__memset",""
1,1,"__morestack",""
1,2,"_pthread_enabled",""
1,2,"_pthread_tls_store_context",""
1,1,"_random_stack_noinline_wrapper<_status_t,_unsigned_int,_void*,_int&,_void*&>",""
17,19,"add_static_threads",""
15,30,"change_protection",""
2,3,"const_init_exception_handler","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl.a"
23,82,"dlmalloc",""
3,6,"do_check_any_chunk",""
6,11,"do_check_inuse_chunk",""
7,11,"do_check_malloced_chunk",""
9,18,"do_check_top_chunk",""
6,11,"do_ctors_aux",""
1,1,"do_eaccept",""
12,33,"do_ecall",""
1,1,"do_emodpe",""
10,20,"do_init_thread",""
1,1,"do_ocall",""
3,5,"do_rdrand",""
10,14,"do_save_tcs",""
17,19,"elf_get_init_array",""
10,12,"elf_tls_info",""
9,28,"enter_enclave",""
1,1,"get_enclave_base",""
1,1,"get_enclave_state",""
1,1,"get_heap_base",""
8,11,"get_phdr",""
1,1,"get_stack_guard",""
1,1,"get_thread_data",""
12,14,"has_text_relo",""
4,4,"init_bins",""
3,27,"init_exception_handler","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl.a"
1,1,"init_global_object",""
8,12,"init_mparams",""
9,13,"init_stack_guard",""
1,1,"init_static_stack_canary",""
3,4,"init_top",""
1,1,"memcpy",""
2,21,"memcpy_s",""
1,1,"memset",""
6,9,"memset_s",""
5,8,"random_stack_advance<2048,__status_t,_unsigned_int,_void*,_int&,_void*&>",""
3,3,"rdrand<>",""
3,4,"restore_xregs",""
3,4,"save_xregs",""
8,29,"sbrk",""
5,7,"segment_holding",""
2,3,"setjmp",""
1,1,"sgx_cpuid",""
2,4,"sgx_cpuidex",""
1,1,"sgx_is_enclave_crashed",""
7,9,"sgx_is_outside_enclave",""
8,9,"sgx_is_within_enclave",""
4,10,"sgx_oc_cpuidex","enclave/TestEnclave_t.o"
5,7,"sgx_ocall",""
8,12,"sgx_ocalloc",""
12,18,"sgx_read_rand",""
14,24,"sgx_register_exception_handler",""
4,7,"sgx_spin_lock",""
1,1,"sgx_spin_unlock",""
29,83,"sys_alloc",""
7,17,"trts_ecall",""
12,17,"trts_mprotect",""
3,4,"update_ocall_lastsp",""
0,1,"ACCESS_DESCRIPTION_free","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,1,"ACCESS_DESCRIPTION_new","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,1,"ADMISSIONS_free","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,1,"ADMISSIONS_get0_admissionAuthority","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,1,"ADMISSIONS_get0_namingAuthority","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,1,"ADMISSIONS_get0_professionInfos","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,1,"ADMISSIONS_new","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,1,"ADMISSIONS_set0_admissionAuthority","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,1,"ADMISSIONS_set0_namingAuthority","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,1,"ADMISSIONS_set0_professionInfos","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,1,"ADMISSION_SYNTAX_free","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,1,"ADMISSION_SYNTAX_get0_admissionAuthority","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,1,"ADMISSION_SYNTAX_get0_contentsOfAdmissions","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,1,"ADMISSION_SYNTAX_new","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,1,"ADMISSION_SYNTAX_set0_admissionAuthority","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,1,"ADMISSION_SYNTAX_set0_contentsOfAdmissions","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,3,"AES_cbc_encrypt","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,4,"AES_decrypt","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,4,"AES_encrypt","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,10,"AES_set_decrypt_key","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,21,"AES_set_encrypt_key","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,1,"AES_unwrap_key","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,1,"AES_wrap_key","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,9,"ASIdOrRange_cmp","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
