Blocks,Total,Func,Module
3,5,"FUN_001c4d42",""
1,1,"FUN_001c4f6a",""
2,2,"FUN_001c5027",""
1,1,"_GLOBAL__sub_I_ssl_conn_hdlr.cpp","ssl_conn_hdlr.cpp.o"
12,16,"__cxa_atexit",""
3,4,"__do_get_rand32",""
5,78,"__init",""
7,7,"__memcmp",""
20,22,"__memcpy",""
3,3,"__memset",""
1,1,"__morestack",""
15,46,"__sfvwrite",""
2,4,"__sprint",""
60,738,"__vfprintf",""
1,1,"_pthread_enabled",""
1,1,"_random_stack_noinline_wrapper<_status_t,_unsigned_int,_void*,_int&,_void*&>",""
7,7,"_strlen",""
17,19,"add_static_threads",""
14,14,"aes_gen_tables","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
6,11,"apply_EPC_pages",""
1,144,"assign",""
16,18,"block_cipher_df","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
15,30,"change_protection",""
4,28,"check_dynamic_range",""
6,7,"check_heap_dyn_range",""
4,42,"copy",""
8,9,"ctr_drbg_update_internal","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
4,7,"dlcalloc",""
49,192,"dlfree",""
57,82,"dlmalloc",""
3,6,"do_check_any_chunk",""
15,27,"do_check_free_chunk",""
7,11,"do_check_inuse_chunk",""
7,11,"do_check_malloced_chunk",""
9,18,"do_check_top_chunk",""
9,11,"do_ctors_aux",""
1,1,"do_eaccept",""
18,33,"do_ecall",""
1,1,"do_emodpe",""
9,20,"do_init_thread",""
1,1,"do_ocall",""
3,5,"do_rdrand",""
10,14,"do_save_tcs",""
2,3,"eckey_alloc_wrap","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
19,25,"ecp_mod_p256","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
26,33,"ecp_mod_p384","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
12,17,"ecp_modp","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
17,19,"elf_get_init_array",""
9,12,"elf_tls_info",""
11,28,"enter_enclave",""
9,11,"entropy_gather_internal.part.0","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
4,5,"entropy_update","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
1,1,"get_enclave_base",""
1,1,"get_enclave_state",""
6,8,"get_func_addr",""
1,1,"get_heap_base",""
5,6,"get_heap_min_size",""
6,7,"get_heap_size",""
8,11,"get_phdr",""
1,1,"get_thread_data",""
12,14,"has_text_relo",""
3,5,"hprintf","ecalls.cpp.o"
4,4,"init_bins",""
1,1,"init_global_object",""
8,12,"init_mparams",""
9,13,"init_stack_guard",""
1,1,"init_static_stack_canary",""
3,4,"init_top",""
6,15,"is_ecall_allowed",""
