Blocks,Total,Func,Module
3,5,"FUN_00130b8c","Unknown"
1,1,"FUN_00130db4","Unknown"
2,2,"FUN_00130e71","Unknown"
3,4,"__do_get_rand32","Unknown"
1,1,"__errno","Unknown"
18,22,"__memcpy","Unknown"
3,3,"__memset","Unknown"
1,1,"__morestack","Unknown"
14,46,"__sfvwrite","Unknown"
2,4,"__sprint","Unknown"
28,738,"__vfprintf","Unknown"
1,1,"_pthread_enabled","Unknown"
1,1,"_random_stack_noinline_wrapper<_status_t,_unsigned_int,_void*,_int&,_void*&>","Unknown"
17,19,"add_static_threads","Unknown"
6,11,"apply_EPC_pages","Unknown"
15,30,"change_protection","Unknown"
4,28,"check_dynamic_range","Unknown"
6,7,"check_heap_dyn_range","Unknown"
17,192,"dlfree","Unknown"
26,82,"dlmalloc","Unknown"
3,6,"do_check_any_chunk","Unknown"
6,11,"do_check_inuse_chunk","Unknown"
7,11,"do_check_malloced_chunk","Unknown"
9,18,"do_check_top_chunk","Unknown"
5,11,"do_ctors_aux","Unknown"
1,1,"do_eaccept","Unknown"
18,33,"do_ecall","Unknown"
1,1,"do_emodpe","Unknown"
9,20,"do_init_thread","Unknown"
1,1,"do_ocall","Unknown"
3,5,"do_rdrand","Unknown"
10,14,"do_save_tcs","Unknown"
1,16,"ecall_add_item","enclave/enclave.o"
15,19,"elf_get_init_array","Unknown"
9,12,"elf_tls_info","Unknown"
12,28,"enter_enclave","Unknown"
1,1,"get_enclave_base","Unknown"
1,1,"get_enclave_state","Unknown"
1,1,"get_errno_addr","Unknown"
6,8,"get_func_addr","Unknown"
1,1,"get_heap_base","Unknown"
5,6,"get_heap_min_size","Unknown"
6,7,"get_heap_size","Unknown"
8,11,"get_phdr","Unknown"
1,1,"get_thread_data","Unknown"
12,14,"has_text_relo","Unknown"
3,5,"hprintf","enclave/enclave.o"
4,4,"init_bins","Unknown"
1,1,"init_global_object","Unknown"
8,12,"init_mparams","Unknown"
9,13,"init_stack_guard","Unknown"
1,1,"init_static_stack_canary","Unknown"
3,4,"init_top","Unknown"
6,15,"is_ecall_allowed","Unknown"
5,8,"mbrtowc","Unknown"
1,1,"memcpy","Unknown"
7,25,"memcpy_s","Unknown"
1,1,"memset","Unknown"
6,9,"memset_s","Unknown"
6,15,"ocall_load_wallet","enclave/enclave_t.o"
6,8,"random_stack_advance<2048,__status_t,_unsigned_int,_void*,_int&,_void*&>","Unknown"
3,3,"rdrand<>","Unknown"
3,4,"restore_xregs","Unknown"
3,4,"save_xregs","Unknown"
14,29,"sbrk","Unknown"
5,7,"segment_holding","Unknown"
1,1,"set_enclave_state","Unknown"
7,9,"sgx_accept_backward","Unknown"
23,39,"sgx_ecall_add_item","enclave/enclave_t.o"
11,40,"sgx_ecall_change_master_password","enclave/enclave_t.o"
9,18,"sgx_ecall_create_wallet","enclave/enclave_t.o"
9,18,"sgx_ecall_remove_item","enclave/enclave_t.o"
11,35,"sgx_ecall_show_wallet","enclave/enclave_t.o"
1,1,"sgx_is_enclave_crashed","Unknown"
9,9,"sgx_is_outside_enclave","Unknown"
8,9,"sgx_is_within_enclave","Unknown"
5,7,"sgx_ocall","Unknown"
8,12,"sgx_ocalloc","Unknown"
12,18,"sgx_read_rand","Unknown"
4,7,"sgx_spin_lock","Unknown"
48,83,"sys_alloc","Unknown"
1,1,"tc_set_idle","Unknown"
12,17,"trts_ecall","Unknown"
12,17,"trts_mprotect","Unknown"
3,4,"update_ocall_lastsp","Unknown"
6,10,"vsnprintf","Unknown"
0,1,"FUN_00102000","Unknown"
0,3,"FUN_00130e32","Unknown"
0,1,"FUN_00130e52","Unknown"
0,1,"FUN_00130e8f","Unknown"
0,1,"Lereport_inst","Unknown"
0,32,"Unknown","Unknown"
0,1,"_T_instantiator_<>","Unknown"
0,11,"__Balloc_D2A","Unknown"
0,5,"__Bfree_D2A","Unknown"
0,1,"__assert","Unknown"
0,17,"__b2d_D2A","Unknown"
0,11,"__cmp_D2A","Unknown"
0,16,"__cxa_atexit","Unknown"
0,20,"__d2b_D2A","Unknown"
0,19,"__diff_D2A","Unknown"
0,293,"__dtoa","Unknown"
0,504,"__find_arguments","Unknown"
0,12,"__fpclassify","Unknown"
0,10,"__fpclassifyf","Unknown"
0,12,"__fpclassifyl","Unknown"
0,1,"__freedtoa","Unknown"
0,347,"__gdtoa","Unknown"
0,11,"__grow_type_table","Unknown"
0,37,"__hdtoa","Unknown"
0,13,"__hi0bits_D2A","Unknown"
0,37,"__hldtoa","Unknown"
0,4,"__i2b_D2A","Unknown"
0,3,"__intel_security_check_cookie","Unknown"
0,14,"__ldtoa","Unknown"
0,19,"__lo0bits_D2A","Unknown"
0,16,"__lshift_D2A","Unknown"
0,4,"__memmove","Unknown"
0,26,"__mult_D2A","Unknown"
0,10,"__multadd_D2A","Unknown"
0,8,"__nrv_alloc_D2A","Unknown"
0,25,"__pow5mult_D2A","Unknown"
0,22,"__quorem_D2A","Unknown"
0,12,"__rshift_D2A","Unknown"
0,7,"__rv_alloc_D2A","Unknown"
0,1,"__stack_chk_fail","Unknown"
0,1,"__stack_chk_fail_local","Unknown"
0,1,"__tls_get_addr","Unknown"
0,9,"__trailz_D2A","Unknown"
0,20,"__wcsconv","Unknown"
0,1,"__x86_indirect_thunk_r10","Unknown"
0,1,"__x86_indirect_thunk_r11","Unknown"
0,1,"__x86_indirect_thunk_r12","Unknown"
0,1,"__x86_indirect_thunk_r13","Unknown"
0,1,"__x86_indirect_thunk_r14","Unknown"
0,1,"__x86_indirect_thunk_r15","Unknown"
0,1,"__x86_indirect_thunk_r8","Unknown"
0,1,"__x86_indirect_thunk_r9","Unknown"
0,1,"__x86_indirect_thunk_rax","Unknown"
0,1,"__x86_indirect_thunk_rbp","Unknown"
0,1,"__x86_indirect_thunk_rbx","Unknown"
0,1,"__x86_indirect_thunk_rcx","Unknown"
0,1,"__x86_indirect_thunk_rdi","Unknown"
0,1,"__x86_indirect_thunk_rdx","Unknown"
0,1,"__x86_indirect_thunk_rsi","Unknown"
0,1,"__x86_return_thunk","Unknown"
0,1,"_bcopy","Unknown"
0,5,"_memchr","Unknown"
0,1,"_pthread_thread_run","Unknown"
0,1,"_pthread_tls_destructors","Unknown"
0,1,"_pthread_tls_get_state","Unknown"
0,1,"_pthread_tls_store_context","Unknown"
0,1,"_pthread_tls_store_state","Unknown"
0,1,"_pthread_wakeup_join","Unknown"
0,1,"_random_stack_noinline_wrapper<_status_t,_const__sealed_data_t*,_unsigned_char*,_unsigned_int,_unsigned_char*,_unsigned_int,_const__sealed_data_t*&,_unsigned_char*&,_unsigned_int&,_unsigned_char*&,_unsigned_int&>","Unknown"
0,1,"_random_stack_noinline_wrapper<_status_t,_unsigned_char_const_(*)[16],_unsigned_char_const*,_unsigned_int,_unsigned_char*,_unsigned_char_const*,_unsigned_int,_unsigned_char_const*,_unsigned_int,_unsigned_char_(*)[16],_unsigned_char_(*&)[16],_unsigned_char_const*&,_unsigned_int_const&,_unsigned_char*,_unsigned_char_const*&,_int,_unsigned_char_const*&,_unsigned_int_const&,_unsigned_char_(*)[16]>","Unknown"
0,1,"_random_stack_noinline_wrapper<_status_t,_unsigned_char_const_(*)[16],_unsigned_char_const*,_unsigned_int,_unsigned_char*,_unsigned_char_const*,_unsigned_int,_unsigned_char_const*,_unsigned_int,_unsigned_char_const_(*)[16],_unsigned_char_(*&)[16],_unsigned_char*,_unsigned_int&,_unsigned_char*&,_unsigned_char*,_int,_unsigned_char*,_unsigned_int&,_unsigned_char_(*)[16]>","Unknown"
0,1,"_random_stack_noinline_wrapper<_status_t,_unsigned_int,_unsigned_char_const*,_unsigned_int,_unsigned_char_const*,_unsigned_char_const*,_const__key_request_t*,__sealed_data_t*,_unsigned_int_const&,_unsigned_char_const*&,_unsigned_int_const&,_unsigned_char_const*&,_unsigned_char_(&)[12],__key_request_t*,__sealed_data_t*&>","Unknown"
0,12,"_strcmp","Unknown"
0,7,"_strlen","Unknown"
0,1,"abort","Unknown"
0,18,"accept_post_remove","Unknown"
0,45,"add_segment","Unknown"
0,1,"alloca","Unknown"
0,6,"apply_pages_within_exception","Unknown"
0,1,"asm_oret","Unknown"
0,1,"atexit","Unknown"
0,27,"bin_find","Unknown"
0,14,"bitstob","Unknown"
0,18,"change_mparam","Unknown"
0,4,"change_permissions_ocall","Unknown"
0,14,"check_dynamic_entry_range","Unknown"
0,7,"check_rsrv_dyn_range","Unknown"
0,4,"check_static_stack_canary","Unknown"
0,1,"check_utility_thread_dynamic_stack","Unknown"
0,5,"consttime_memequal","Unknown"
0,1,"continue_execution","Unknown"
0,27,"cpGetCacheSize","Unknown"
0,1,"cpGetFeature","Unknown"
0,80,"cpGetFeatures","Unknown"
0,1,"cpGetReg","Unknown"
0,1,"cpStartTsc","Unknown"
0,1,"cpStartTscp","Unknown"
0,1,"cpStopTsc","Unknown"
0,1,"cpStopTscp","Unknown"
0,1,"cp_get_pentium_counter","Unknown"
0,4,"cp_is_avx512_extension","Unknown"
0,4,"cp_is_avx_extension","Unknown"
0,1,"cp_issue_avx512_instruction","Unknown"
0,4,"custom_alignment<>","Unknown"
0,175,"dispose_chunk","Unknown"
0,7,"dlcalloc","Unknown"
0,3,"dlmallinfo","Unknown"
0,4,"dlmemalign","Unknown"
0,21,"dlrealloc","Unknown"
0,24,"do_add_thread","Unknown"
0,4,"do_atexit_aux","Unknown"
0,27,"do_check_free_chunk","Unknown"
0,23,"do_check_malloc_state","Unknown"
0,3,"do_check_mmapped_chunk","Unknown"
0,15,"do_check_smallbin","Unknown"
0,59,"do_check_tree","Unknown"
0,6,"do_check_treebin","Unknown"
0,11,"do_del_tcs","Unknown"
0,10,"do_dtors_aux","Unknown"
0,14,"do_ecall_add_thread","Unknown"
0,1,"do_egetkey","Unknown"
0,1,"do_ereport","Unknown"
0,13,"do_init_enclave","Unknown"
0,14,"do_oret","Unknown"
0,26,"do_relocs","Unknown"
0,20,"do_uninit_enclave","Unknown"
0,7,"dorounding","Unknown"
0,12,"ecall_change_master_password","enclave/enclave.o"
0,7,"ecall_create_wallet","enclave/enclave.o"
0,16,"ecall_remove_item","enclave/enclave.o"
0,8,"ecall_show_wallet","enclave/enclave.o"
0,19,"elf_get_uninit_array","Unknown"
0,14,"elf_tls_aligned_virtual_size","Unknown"
0,1,"enclave_entry","Unknown"
0,5,"expand_stack_by_pages","Unknown"
0,16,"exponent","Unknown"
0,10,"feature_supported","Unknown"
0,7,"get_dynamic_layout_by_id","Unknown"
0,4,"get_dynamic_stack_max_page","Unknown"
0,1,"get_enclave_end","Unknown"
0,1,"get_enclave_size","Unknown"
0,1,"get_max_tcs_num","Unknown"
0,1,"get_rsrv_base","Unknown"
0,1,"get_rsrv_end","Unknown"
0,6,"get_rsrv_min_size","Unknown"
0,7,"get_rsrv_size","Unknown"
0,1,"get_stack_guard","Unknown"
0,5,"get_sym","Unknown"
0,1,"get_xfeature_state","Unknown"
0,7,"has_segment_link","Unknown"
0,13,"heap_init","Unknown"
0,46,"init_enclave","Unknown"
0,52,"init_ipp_cpuid","Unknown"
0,10,"init_optimized_libs","Unknown"
0,1,"instantiate_object<>","Unknown"
0,23,"internal_handle_exception","Unknown"
0,24,"internal_mallinfo","Unknown"
0,23,"internal_malloc_stats","Unknown"
0,37,"internal_memalign","Unknown"
0,1,"ippcpGetCpuClocks","Unknown"
0,5,"ippcpGetCpuFeatures","Unknown"
0,1,"ippcpGetEnabledCpuFeatures","Unknown"
0,1,"ippcpGetEnabledNumThreads","Unknown"
0,3,"ippcpGetNumThreads","Unknown"
0,6,"ippcpGetStatusString","Unknown"
0,32,"ippcpInit","Unknown"
0,1,"ippcpSafeInit","Unknown"
0,29,"ippcpSetCpuFeatures","Unknown"
0,1,"ippcpSetNumThreads","Unknown"
0,11,"is_dynamic_thread","Unknown"
0,6,"is_dynamic_thread_exist","Unknown"
0,6,"is_stack_addr","Unknown"
0,5,"is_utility_thread","Unknown"
0,5,"is_valid_sp","Unknown"
0,3,"l9_AesGcmAuth_avx","Unknown"
0,5,"l9_AesGcmAuth_table2K_ct","Unknown"
0,12,"l9_AesGcmDec_avx","Unknown"
0,12,"l9_AesGcmEnc_avx","Unknown"
0,1,"l9_AesGcmMulGcm_avx","Unknown"
0,13,"l9_AesGcmMulGcm_table2K_ct","Unknown"
0,1,"l9_AesGcmPrecompute_avx","Unknown"
0,26,"l9_AesGcmPrecompute_table2K","Unknown"
0,5,"l9_Decrypt_RIJ128_AES_NI","Unknown"
0,5,"l9_Encrypt_RIJ128_AES_NI","Unknown"
0,75,"l9_ExpandRijndaelKey","Unknown"
0,3,"l9_SafeDecrypt_RIJ128","Unknown"
0,3,"l9_SafeEncrypt_RIJ128","Unknown"
0,1,"l9_TransformNative2Composite","Unknown"
0,1,"l9_aes128_KeyExpansion_NI","Unknown"
0,1,"l9_aes192_KeyExpansion_NI","Unknown"
0,1,"l9_aes256_KeyExpansion_NI","Unknown"
0,5,"l9_aes_DecKeyExpansion_NI","Unknown"
0,6,"l9_cpExpandAesKey_NI","Unknown"
0,19,"l9_ippsAESInit","Unknown"
0,74,"l9_ippsAES_GCMDecrypt","Unknown"
0,74,"l9_ippsAES_GCMEncrypt","Unknown"
0,3,"l9_ippsAES_GCMGetSize","Unknown"
0,23,"l9_ippsAES_GCMGetTag","Unknown"
0,11,"l9_ippsAES_GCMInit","Unknown"
0,54,"l9_ippsAES_GCMProcessAAD","Unknown"
0,45,"l9_ippsAES_GCMProcessIV","Unknown"
0,5,"l9_ippsAES_GCMReset","Unknown"
0,4,"l9_ippsAES_GCMStart","Unknown"
0,1,"l9_wrpAesGcmDec_avx","Unknown"
0,4,"l9_wrpAesGcmDec_table2K","Unknown"
0,1,"l9_wrpAesGcmEnc_avx","Unknown"
0,4,"l9_wrpAesGcmEnc_table2K","Unknown"
0,1,"lock_enclave","Unknown"
0,5,"longjmp","Unknown"
0,1,"mbsinit","Unknown"
0,10,"mbsnrtowcs","Unknown"
0,1,"mbsrtowcs","Unknown"
0,1,"memchr","Unknown"
0,1,"memmove","Unknown"
0,19,"mmap_alloc","Unknown"
0,13,"mmap_resize","Unknown"
0,9,"ocall_debug_print","enclave/enclave_t.o"
0,6,"ocall_is_wallet","enclave/enclave_t.o"
0,13,"ocall_save_wallet","enclave/enclave_t.o"
0,1,"operator_new","Unknown"
0,37,"owncpFeaturesToIdx","Unknown"
0,40,"owncpSetCpuFeaturesAndIdx","Unknown"
0,1,"pcl_entry","Unknown"
0,112,"prepend_alloc","Unknown"
0,8,"random_stack_advance<1024,__status_t,_const__sealed_data_t*,_unsigned_char*,_unsigned_int,_unsigned_char*,_unsigned_int,_const__sealed_data_t*&,_unsigned_char*&,_unsigned_int&,_unsigned_char*&,_unsigned_int&>","Unknown"
0,8,"random_stack_advance<1024,__status_t,_unsigned_int,_unsigned_char_const*,_unsigned_int,_unsigned_char_const*,_unsigned_char_const*,_const__key_request_t*,__sealed_data_t*,_unsigned_int_const&,_unsigned_char_const*&,_unsigned_int_const&,_unsigned_char_const*&,_unsigned_char_(&)[12],__key_request_t*,__sealed_data_t*&>","Unknown"
0,8,"random_stack_advance<512,__status_t,_unsigned_char_const_(*)[16],_unsigned_char_const*,_unsigned_int,_unsigned_char*,_unsigned_char_const*,_unsigned_int,_unsigned_char_const*,_unsigned_int,_unsigned_char_(*)[16],_unsigned_char_(*&)[16],_unsigned_char_const*&,_unsigned_int_const&,_unsigned_char*,_unsigned_char_const*&,_int,_unsigned_char_const*&,_unsigned_int_const&,_unsigned_char_(*)[16]>","Unknown"
0,8,"random_stack_advance<512,__status_t,_unsigned_char_const_(*)[16],_unsigned_char_const*,_unsigned_int,_unsigned_char*,_unsigned_char_const*,_unsigned_int,_unsigned_char_const*,_unsigned_int,_unsigned_char_const_(*)[16],_unsigned_char_(*&)[16],_unsigned_char*,_unsigned_int&,_unsigned_char*&,_unsigned_char*,_int,_unsigned_char*,_unsigned_int&,_unsigned_char_(*)[16]>","Unknown"
0,1,"randomize_object","Unknown"
0,4,"release_unused_segments","Unknown"
0,32,"relocate_enclave","Unknown"
0,1,"reset","Unknown"
0,7,"roundup","Unknown"
0,11,"rsrv_mem_init","Unknown"
0,1,"seal_wallet","enclave/sealing/sealing.o"
0,23,"set_global_feature_indicator","Unknown"
0,3,"setjmp","Unknown"
0,10,"sgx_accept_forward","Unknown"
0,13,"sgx_accept_forward_within_exception","Unknown"
0,9,"sgx_aes_gcm128_enc_get_mac","Unknown"
0,26,"sgx_aes_gcm128_enc_init","Unknown"
0,10,"sgx_aes_gcm128_enc_update","Unknown"
0,12,"sgx_aes_gcm_close","Unknown"
0,6,"sgx_calc_sealed_data_size","Unknown"
0,25,"sgx_create_report","Unknown"
0,8,"sgx_disp_ippsAES_GCMDecrypt","Unknown"
0,8,"sgx_disp_ippsAES_GCMEncrypt","Unknown"
0,8,"sgx_disp_ippsAES_GCMGetSize","Unknown"
0,8,"sgx_disp_ippsAES_GCMGetTag","Unknown"
0,8,"sgx_disp_ippsAES_GCMInit","Unknown"
0,8,"sgx_disp_ippsAES_GCMStart","Unknown"
0,6,"sgx_get_add_mac_txt_len","Unknown"
0,4,"sgx_get_encrypt_txt_len","Unknown"
0,50,"sgx_get_key","Unknown"
0,1,"sgx_init_crypto_lib","Unknown"
0,1,"sgx_init_string_lib","Unknown"
0,3,"sgx_ocfree","Unknown"
0,24,"sgx_register_exception_handler","Unknown"
0,46,"sgx_rijndael128GCM_decrypt","Unknown"
0,44,"sgx_rijndael128GCM_encrypt","Unknown"
0,5,"sgx_seal_data","Unknown"
0,42,"sgx_seal_data_ex","Unknown"
0,12,"sgx_seal_data_iv","Unknown"
0,5,"sgx_self_report","Unknown"
0,1,"sgx_spin_unlock","Unknown"
0,13,"sgx_unregister_exception_handler","Unknown"
0,54,"sgx_unseal_data","Unknown"
0,18,"sgx_unseal_data_helper","Unknown"
0,2,"size","Unknown"
0,5,"spin_acquire_lock","Unknown"
0,1,"strcmp","Unknown"
0,1,"strlen","Unknown"
0,9,"strncpy","Unknown"
0,5,"strnlen","Unknown"
0,21,"sys_trim","Unknown"
0,1,"tcrypto_access_version_dummy1","Unknown"
0,110,"tmalloc_large","Unknown"
0,66,"tmalloc_small","Unknown"
0,26,"traverse_and_check","Unknown"
0,15,"trim_EPC_pages","Unknown"
0,4,"trim_range_commit_ocall","Unknown"
0,4,"trim_range_ocall","Unknown"
0,1,"trts_access_version_dummy1","Unknown"
0,37,"trts_handle_exception","Unknown"
0,95,"try_realloc_chunk","Unknown"
0,1,"tservice_access_version_dummy1","Unknown"
0,1,"tservice_access_version_dummy2","Unknown"
0,1,"tstdc_access_version_dummy1","Unknown"
0,1,"uninit_global_object","Unknown"
0,1,"unseal_wallet","enclave/sealing/sealing.o"
0,7,"wcrtomb","Unknown"
0,21,"wcsnrtombs","Unknown"
0,1,"wcsrtombs","Unknown"
0,2,"wipe","Unknown"
0,4,"wrapv","Unknown"
0,3,"y8_AesGcmAuth_avx","Unknown"
0,5,"y8_AesGcmAuth_table2K_ct","Unknown"
0,12,"y8_AesGcmDec_avx","Unknown"
0,12,"y8_AesGcmEnc_avx","Unknown"
0,1,"y8_AesGcmMulGcm_avx","Unknown"
0,13,"y8_AesGcmMulGcm_table2K_ct","Unknown"
0,1,"y8_AesGcmPrecompute_avx","Unknown"
0,26,"y8_AesGcmPrecompute_table2K","Unknown"
0,5,"y8_Decrypt_RIJ128_AES_NI","Unknown"
0,5,"y8_Encrypt_RIJ128_AES_NI","Unknown"
0,84,"y8_ExpandRijndaelKey","Unknown"
0,3,"y8_SafeDecrypt_RIJ128","Unknown"
0,3,"y8_SafeEncrypt_RIJ128","Unknown"
0,1,"y8_TransformNative2Composite","Unknown"
0,1,"y8_aes128_KeyExpansion_NI","Unknown"
0,1,"y8_aes192_KeyExpansion_NI","Unknown"
0,1,"y8_aes256_KeyExpansion_NI","Unknown"
0,5,"y8_aes_DecKeyExpansion_NI","Unknown"
0,6,"y8_cpExpandAesKey_NI","Unknown"
0,19,"y8_ippsAESInit","Unknown"
0,124,"y8_ippsAES_GCMDecrypt","Unknown"
0,125,"y8_ippsAES_GCMEncrypt","Unknown"
0,3,"y8_ippsAES_GCMGetSize","Unknown"
