Blocks,Total,Func,Module
3,5,"FUN_0017e005","Unknown"
1,1,"FUN_0017e22d","Unknown"
2,2,"FUN_0017e2ea","Unknown"
3,4,"__do_get_rand32","Unknown"
1,1,"__errno","Unknown"
18,22,"__memcpy","Unknown"
3,3,"__memset","Unknown"
1,1,"__morestack","Unknown"
15,46,"__sfvwrite","Unknown"
2,4,"__sprint","Unknown"
60,738,"__vfprintf","Unknown"
1,1,"_pthread_enabled","Unknown"
1,1,"_random_stack_noinline_wrapper<_status_t,_unsigned_int,_void*,_int&,_void*&>","Unknown"
6,7,"_strlen","Unknown"
17,19,"add_static_threads","Unknown"
6,11,"apply_EPC_pages","Unknown"
1,5,"benchmark_init","/home/leone/Documents/sgxfuzz/Enclaves/wolfssl-all/wolfssl/IDE/LINUX-SGX/libwolfssl.sgx.static.lib.a"
1,48,"benchmark_test","/home/leone/Documents/sgxfuzz/Enclaves/wolfssl-all/wolfssl/IDE/LINUX-SGX/libwolfssl.sgx.static.lib.a"
15,30,"change_protection","Unknown"
4,28,"check_dynamic_range","Unknown"
6,7,"check_heap_dyn_range","Unknown"
6,7,"dlcalloc","Unknown"
17,192,"dlfree","Unknown"
26,82,"dlmalloc","Unknown"
3,6,"do_check_any_chunk","Unknown"
6,11,"do_check_inuse_chunk","Unknown"
7,11,"do_check_malloced_chunk","Unknown"
9,18,"do_check_top_chunk","Unknown"
5,11,"do_ctors_aux","Unknown"
1,1,"do_eaccept","Unknown"
18,33,"do_ecall","Unknown"
1,1,"do_emodpe","Unknown"
9,20,"do_init_thread","Unknown"
1,1,"do_ocall","Unknown"
3,5,"do_rdrand","Unknown"
10,14,"do_save_tcs","Unknown"
15,19,"elf_get_init_array","Unknown"
9,12,"elf_tls_info","Unknown"
2,3,"enc_wolfSSL_CTX_free","trusted/Wolfssl_Enclave.o"
5,12,"enc_wolfSSL_CTX_new","trusted/Wolfssl_Enclave.o"
2,4,"enc_wolfSSL_CTX_use_PrivateKey_buffer","trusted/Wolfssl_Enclave.o"
1,1,"enc_wolfSSL_Cleanup","trusted/Wolfssl_Enclave.o"
1,1,"enc_wolfSSL_Init","trusted/Wolfssl_Enclave.o"
